,area,perimeter,physiological_length,physiological_width,aspect_ratio,rectangularity,circularity,major_axis,minor_axis,convex_area,convex_ratio,mean_r,mean_g,mean_b,stddev_r,stddev_g,stddev_b,contrast,correlation,inverse_difference_moments,entropy,classlabel
0,65025,1020,256,256,1,0.992202759,0.785398163,256,256,65025,1,0,0,0,0,0,0,0,1,1,0,Bacterial_spot
1,65025,1020,256,256,1,0.992202759,0.785398163,256,256,65025,1,0.31187439,0.476028442,0.486618042,4.859580041,7.228604379,7.379478273,19.96246618,0.797218209,0.99454551,0.102072081,Bacterial_spot
2,65025,1020,256,256,1,0.992202759,0.785398163,256,256,65025,1,8.96836853,17.73384094,18.40840149,23.92482091,43.9707493,45.43226463,371.0363206,0.895073134,0.845262974,2.734730199,Bacterial_spot
3,65025,1020,256,256,1,0.992202759,0.785398163,256,256,65025,1,1.940032959,3.18548584,3.425979614,11.42174964,17.63110472,18.7292907,90.52651778,0.847677768,0.961683957,0.704244167,Bacterial_spot
4,65025,1020,256,256,1,0.992202759,0.785398163,256,256,65025,1,0.017425537,0.03263855,0.030700684,0.868875926,1.550240903,1.456335867,1.079797464,0.741081728,0.999464733,0.010509997,Bacterial_spot
5,65025,1020,256,256,1,0.992202759,0.785398163,256,256,65025,1,0.251800537,0.437225342,0.406570435,4.050053778,6.784315966,6.337627812,9.147826918,0.886526421,0.995409927,0.087983029,Bacterial_spot
6,65025,1020,256,256,1,0.992202759,0.785398163,256,256,65025,1,1.018447876,2.116210938,2.113754272,7.554464005,15.56778731,15.54724156,24.02969222,0.944024756,0.980548165,0.376800302,Bacterial_spot
7,65025,1020,256,256,1,0.992202759,0.785398163,256,256,65025,1,0.104232788,0.207489014,0.187225342,2.464218379,4.78948077,4.317367231,5.82402925,0.848736453,0.998025771,0.039207218,Bacterial_spot
8,65025,1020,256,256,1,0.992202759,0.785398163,256,256,65025,1,0.328994751,0.535171509,0.551879883,4.174631039,6.500071516,6.65860343,13.45312599,0.829611578,0.991789484,0.153199286,Bacterial_spot
9,65025,1020,256,256,1,0.992202759,0.785398163,256,256,65025,1,0,0,0,0,0,0,0,1,1,0,Bacterial_spot
